Getting,3025256
Translocation,2253621
HavingInPossession,1924473
Giving,1895357
QuantityChange,1866030
Transportation,1449413
Removing,1183786
Arriving,1087302
Selling,778460
Taking,605245
Placing,490885
Buying,343441
Leaving,331255
BeingAtAPlace,327503
JoiningAnOrganization,292258
BeingInExistence,237191
Paying,222043
LeavingAnOrganization,196825
Separating,164679
Killing,155480
InEmployment,153990
Destroying,116345
BeingLeader,86288
Lending,69678
Distribution,62947
Stealing,56584
Merging,52573
Installing,40051
Renting,32332
Escaping,31280
RentingOut,9768
