Possession,1924473
Change_position_on_a_scale,1396921
Bringing,1321039
Arriving,1087302
Self_motion,1079525
Getting,1011309
Commerce_sell,778460
Removing,708811
Taking,605245
Cotheme,536218
Operate_vehicle,532650
Placing,490885
Cause_change_of_position_on_a_scale,453353
Giving,447526
Expansion,441526
Cause_motion,437068
Cause_expansion,362943
Commerce_buy,343441
Departing,331255
Sending,304033
Receiving,279054
Ride_vehicle,274694
Residence,245130
Existence,237191
Commerce_pay,222043
Supply,199361
Employing,153306
Quitting,145665
Delivery,128374
Killing,106229
Cause_to_fragment,91951
Hiring,87474
Leadership,86288
Being_located,82373
Dispersal,62947
Theft,56584
Cause_to_amalgamate,52573
Firing,51160
Travel,49600
Installing,40051
Quitting_a_place,35502
Renting,32332
Setting_out,30696
Escaping,30404
Intentional_traversing,26516
Destroying,24394
Traversing,22323
Separating,21204
Execution,15825
Fleeing,12063
Renting_out,9768
Amalgamation,7740
Being_employed,684
